"number","SUStartTime","age","sex","model","Condition","LR_STE","Asym_STE","SatT_STE","MSE_STE","LR_SPE","Asym_SPE","SatT_SPE","MSE_SPE","LR_RTE","Asym_RTE","SatT_RTE","MSE_RTE","LR_RPE","Asym_RPE","SatT_RPE","MSE_RPE","SatT"
1,42.838,NA,NA,12,"online",0.458448641100355,0.0569297205847621,6,0.00929722980596964,0.299219136294729,0.0668355287490648,10,0.0110490933777351,1,0.0680104762823688,2,0.0116556411379844,1,0.0808263685266294,2,0.0146395868649675,4
2,241.356,NA,NA,15,"terminal",0.0804423814087875,0.765300198757456,37,0.043632651941937,0.0946589465920613,0.634361363233422,32,0.0321824351936688,0.0531769851268329,0.76882807999428,Inf,0.0348187239153531,0.0808544644519595,0.48194425964323,37,0.0379242067483189,Inf
3,43.401,NA,NA,12,"online",1,0.287664646585373,2,0.0673589941880101,0.197457334791175,0.299503950892806,15,0.0532241059489606,0.263413396765376,0.37077599255778,11,0.0720092025866649,0.297821999128445,0.317994211681179,10,0.0547383208076051,6
4,24.386,NA,NA,13,"terminal",0.316828117312085,0.609113798562143,9,0.0324070566449897,0.305458707302887,0.539277311979792,10,0.0263200910624756,0.387855295061657,0.573499638208156,8,0.0249469764082393,0.410268142548298,0.457172622675218,7,0.021133406520267,8
5,36.559,NA,NA,15,"online",0.176773494892357,0.584002018962096,17,0.0328641633808585,0.208390109345184,0.401325271774572,14,0.0207403321889088,1,0.385980536417892,2,0.0523511507602486,0.35154856265648,0.317649023180506,8,0.0364024167888945,10
6,30.449,NA,NA,17,"terminal",1,0.559236629584013,2,0.0914712457680067,1,0.356696920413408,2,0.0456415251319367,1,0.45262267378338,2,0.0606307274311421,1,0.157133204567727,2,0.0340085642495593,2
7,24.55,NA,NA,6,"online",0.199780753125887,0.629856149021196,15,0.024607439659305,0.147917312644206,0.607218382529896,20,0.0218073370092069,0.201171681632298,0.64303990034002,15,0.0170602002831953,0.0929529927084839,0.494108351212634,32,0.0217383831338348,15
8,30.445,NA,NA,6,"terminal",0.273494754467727,0.769842216381988,11,0.00607565690625365,0.398835787818744,0.57121661531504,7,0.0168539252011872,0.3721064921318,0.711621294868075,8,0.0172097128168219,0.459942764658201,0.469086052680686,6,0.0154422306536283,10
9,31.431,NA,NA,12,"online",1,0.169345222729496,2,0.0557971180586953,1,0.132612080976969,2,0.0402099900297856,1,0.193843965986752,2,0.0481767320881352,1,0.13886919797522,2,0.0312893964225975,2
10,24.282,NA,NA,10,"terminal",0.0126820592819729,1.27733706641779,Inf,0.0204879199647603,0.0176486785044827,0.761196126185817,Inf,0.0200636580188286,0.0203299530087339,0.923315487575472,Inf,0.0208384870721251,0.0344760525908214,0.532628962195429,Inf,0.0287352101248427,Inf
11,25.208,NA,NA,19,"online",1,0.570290539861265,2,0.00863934191510573,1,0.462466922491198,2,0.0113592255784635,1,0.547093023083774,2,0.0232732237143086,1,0.260855881599161,2,0.0207358345562301,2
12,42.723,NA,NA,10,"terminal",0.276228354783352,0.775326120106994,11,0.0159703672346347,0.244284168580935,0.684506144296677,12,0.0156788922773112,0.2790042967612,0.778087338784634,11,0.0137973277889188,0.184615721327161,0.64701503165477,16,0.0246283733473971,11
13,30.394,NA,NA,6,"online",0.0335091016980007,0.760357048398071,Inf,0.0511796601761348,0.0775041737170748,0.369194789262182,39,0.0406199202196263,0.0643713227057293,0.624712679869098,47,0.0408172826345585,0.230711889442408,0.283513970563394,13,0.0239528001661755,Inf
14,18.856,NA,NA,4,"terminal",0.433902343392226,0.72312078754249,7,0.037522415113642,0.571122874544941,0.625979414791365,5,0.029063634796492,0.553105023033841,0.636149447500229,5,0.0294604761002456,0.774175326066603,0.451139565466452,4,0.0227338599365669,6
15,24.366,NA,NA,15,"online",0.0126363893222461,1.94058670627553,Inf,0.05275244241316,0.0177050686288909,1.19692746097365,Inf,0.0319128170039782,0.863636363636364,0.756389009810097,3,0.211487209484772,0.0183481129829962,0.903719113518501,Inf,0.0328036073369262,Inf
16,24.347,NA,NA,2,"terminal",0.329031396380627,0.309346937147073,9,0.0153810219293075,0.29512404999109,0.260619659270137,10,0.0174659549272978,0.350551379165878,0.352144254380506,8,0.0214906621673457,0.492925208122753,0.382664527423348,6,0.0167752156662114,8
17,24.58,NA,NA,18,"online",1,0.617758682420337,2,0.0737352382751305,0.0516714520007115,0.682198434145065,Inf,0.0369443929850764,0.0459150320249726,0.732344908900829,Inf,0.0549380988111934,1,0.351448182926493,2,0.0429160318652571,Inf
18,60.881,NA,NA,2,"terminal",0.0322161283855336,1.13812155783129,Inf,0.0652130254841208,0.0317507210709093,0.983225191780644,Inf,0.048217046734493,0.0318069218677298,0.982347864042636,Inf,0.0568045820323284,0.0322091244537129,0.815656395615242,Inf,0.0388715141876682,Inf
19,24.81,NA,NA,10,"online",0.12586428391829,0.698985024444169,24,0.034736074620304,0.118354761740976,0.696309851342658,25,0.0293092621889731,0.118659841646009,0.62973474129368,25,0.0284249998458365,0.0940627877711256,0.628251571667725,32,0.0300702360011294,24
20,24.677,NA,NA,4,"terminal",0.237506101510249,0.367478983210157,13,0.0928762083328597,0.246292987540927,0.203563387910979,12,0.0456634024974741,1,0.372010491799201,2,0.0742800286602403,1,0.137918309564435,2,0.0323378095691279,8
21,36.376,NA,NA,2,"online",0.0363569696032314,0.915809132083779,Inf,0.0405128941010363,1,0.365759446154198,2,0.0274637544857713,1,0.513168386516084,2,0.0325711601109127,0.230213831413864,0.396265920565255,13,0.0218413568075484,Inf
22,18.569,NA,NA,19,"terminal",0.129225981938566,0.530322957112532,23,0.0559005008004992,0.114685464619049,0.421236071087606,26,0.0374963306967065,0.148648564869695,0.382433284185169,20,0.0422242084796199,0.105704731716237,0.301439656143628,28,0.0276424011188679,22
23,24.251,NA,NA,12,"online",0.273434879565284,0.587361355824538,11,0.0713890707502347,0.26374726643389,0.452374727052624,11,0.048580644771386,0.270071033471393,0.548069980663037,11,0.0674025074469425,0.297364612143794,0.246128106389953,10,0.0313010776047635,11
24,36.283,NA,NA,19,"terminal",0.0661691730901162,0.731658146805511,45,0.0450559129672996,0.0668174481047877,0.593384045487287,45,0.0332673734323571,0.175640317098416,0.528206091073099,17,0.0312718645449619,0.145779272249253,0.41505714157726,21,0.0257182387867412,31
25,42.158,NA,NA,10,"online",0.0275474442741149,0.619536786266446,Inf,0.0313136377523647,0.0066034441021325,1.17681845062093,Inf,0.0224157378049861,0.00648972817812814,1.37005860836277,Inf,0.0305811639220805,0.499801443641997,0.140434027481316,6,0.0225155625369925,Inf
26,24.422,NA,NA,10,"terminal",0.0261305670487667,1.08268087675074,Inf,0.0417409533278661,0.806266558639876,0.276313918915507,3,0.0303213648847574,0.93731256477559,0.355561862836569,3,0.0334042107046291,0.658316192511994,0.255698536086798,4,0.0293515372485746,Inf
27,30.237,NA,NA,16,"online",0.671900033847842,0.745657023606774,4,0.0178978457012658,0.750336171855641,0.516811691753283,4,0.0136217869062055,0.666285636355096,0.715340604235724,4,0.0129261161514445,0.741920611811949,0.503399617607229,4,0.00957874309714348,4
28,24.132,NA,NA,5,"terminal",1,0.165047393364928,2,0.0428277827157008,1,0.110426929392446,2,0.0225350350288384,0.00682267697081425,1.22839815670333,Inf,0.0581968127029236,1,0.129905175751622,2,0.0273023456978719,Inf
29,42.264,NA,NA,19,"online",0.103281092236496,0.631319153587746,29,0.0175724863305054,1,0.415040844398283,2,0.0289099955166285,0.128130683063279,0.688915881492939,23,0.0201869090292471,1,0.49189557294639,2,0.0381485316691807,26
30,30.193,NA,NA,10,"terminal",0.120098216870331,0.865599773811857,25,0.0469250880632783,0.133317090112093,0.747308994012352,22,0.0426252342388106,0.129061267749306,0.762676708426511,23,0.0392473909089699,0.256995450354093,0.496689130318619,12,0.0310670612679164,24
31,30.179,NA,NA,19,"online",0.0600989993819217,0.751042705971178,50,0.049454469675574,0.0698289411443116,0.590030875238075,43,0.0360348046148256,1,0.536056172394436,2,0.0723650884261308,1,0.353666697221463,2,0.0323826392845898,26
32,36.265,NA,NA,17,"terminal",0.0603584846477669,0.529337775509025,50,0.0724859334949129,0.0541124425816232,0.477676889656232,Inf,0.0443174996005622,1,0.292553643025579,2,0.056724142308931,0.0454545454545455,0.391349186511224,Inf,0.0300356968793235,26
